customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,Segment
1,7,11,9084.45,5,5,5,555,Champions
2,128,3,4149.07,1,1,2,112,Lost Customers
3,102,8,9888.23,1,4,5,145, At Risk
4,195,2,1047.72,1,1,1,111,Lost Customers
5,16,6,5903.2,4,3,3,433,Average Customers
6,64,5,5931.6900000000005,2,2,3,223,Lost Customers
7,253,3,995.38,1,1,1,111,Lost Customers
8,22,10,12024.759999999998,4,5,5,455,Loyal Customers
9,78,6,5357.549999999999,2,3,3,233,Lost Customers
10,33,6,7067.83,3,3,4,334,Average Customers
11,46,6,6779.4400000000005,3,3,3,333,Average Customers
12,67,7,6394.21,2,4,3,243,Lost Customers
13,27,7,7734.74,4,4,4,444,Potential Loyalists
14,47,4,3593.57,3,1,1,311,Average Customers
15,35,6,4923.34,3,3,2,332,Average Customers
16,99,5,7763.79,1,2,4,124,Lost Customers
17,0,5,4676.1900000000005,5,2,2,522,New Customers
18,134,7,8878.62,1,4,5,145, At Risk
19,102,3,4238.1900000000005,1,1,2,112,Lost Customers
20,31,4,6618.86,4,1,3,413,Average Customers
21,6,5,7446.21,5,2,4,524,New Customers
22,97,8,9546.35,2,4,5,245, At Risk
23,10,7,8415.53,5,4,4,544,Potential Loyalists
24,17,8,8078.950000000001,4,4,4,444,Potential Loyalists
25,5,12,9996.33,5,5,5,555,Champions
26,113,3,3943.12,1,1,2,112,Lost Customers
27,143,7,7679.97,1,4,4,144, At Risk
28,83,6,5492.900000000001,2,3,3,233,Lost Customers
29,22,9,10855.57,4,5,5,455,Loyal Customers
30,11,3,3736.5199999999995,5,1,1,511,New Customers
31,89,4,3110.0,2,1,1,211,Lost Customers
32,138,7,7873.18,1,4,4,144, At Risk
33,38,7,9384.23,3,4,5,345,Average Customers
34,102,9,13133.0,1,5,5,155,Loyal Customers
35,92,4,4182.28,2,1,2,212,Lost Customers
36,163,2,1781.04,1,1,1,111,Lost Customers
37,7,9,11291.71,5,5,5,555,Champions
38,50,4,4502.59,3,1,2,312,Average Customers
39,34,12,11237.19,3,5,5,355,Loyal Customers
40,14,6,6175.2699999999995,5,3,3,533,New Customers
41,29,9,9114.15,4,5,5,455,Loyal Customers
42,111,4,1936.46,1,1,1,111,Lost Customers
43,61,9,6574.59,2,5,3,253,Lost Customers
44,35,7,7497.4,3,4,4,344,Average Customers
45,43,3,2912.33,3,1,1,311,Average Customers
46,53,5,4923.139999999999,3,2,2,322,Average Customers
47,35,7,8022.01,3,4,4,344,Average Customers
48,82,8,9654.119999999999,2,4,5,245, At Risk
49,36,5,7582.92,3,2,4,324,Average Customers
50,26,8,9252.66,4,4,5,445,Potential Loyalists
51,55,8,9667.460000000001,3,4,5,345,Average Customers
52,4,7,10106.57,5,4,5,545,Potential Loyalists
53,7,5,5472.74,5,2,3,523,New Customers
54,67,7,9813.66,2,4,5,245, At Risk
55,46,8,6754.21,3,4,3,343,Average Customers
56,2,7,5060.86,5,4,2,542,New Customers
57,35,6,8748.75,3,3,4,334,Average Customers
58,20,8,6967.3099999999995,4,4,4,444,Potential Loyalists
59,22,3,2797.47,4,1,1,411,Average Customers
60,200,2,1526.9,1,1,1,111,Lost Customers
61,47,7,8397.28,3,4,4,344,Average Customers
62,5,6,5845.950000000001,5,3,3,533,New Customers
63,68,3,4156.66,2,1,2,212,Lost Customers
64,3,5,4111.12,5,2,2,522,New Customers
65,136,6,8056.469999999999,1,3,4,134,Lost Customers
66,43,5,6489.33,3,2,3,323,Average Customers
67,116,5,5304.15,1,2,2,122,Lost Customers
68,84,3,5127.98,2,1,2,212,Lost Customers
69,20,6,8395.75,4,3,4,434,Average Customers
70,4,5,4801.11,5,2,2,522,New Customers
71,131,1,1415.01,1,1,1,111,Lost Customers
72,22,5,4360.42,4,2,2,422,Average Customers
73,168,6,5265.87,1,3,2,132,Lost Customers
74,28,3,2985.64,4,1,1,411,Average Customers
75,60,8,7130.63,2,4,4,244, At Risk
76,1,8,7425.04,5,4,4,544,Potential Loyalists
77,101,3,2964.73,1,1,1,111,Lost Customers
78,211,2,1139.12,1,1,1,111,Lost Customers
79,43,6,6761.43,3,3,3,333,Average Customers
80,28,10,12564.82,4,5,5,455,Loyal Customers
81,4,4,4421.7,5,1,2,512,New Customers
82,78,5,5293.91,2,2,2,222,Lost Customers
83,80,6,4464.65,2,3,2,232,Lost Customers
84,28,7,5464.650000000001,4,4,3,443,Average Customers
85,37,6,3158.6299999999997,3,3,1,331,Average Customers
86,0,9,7319.35,5,5,4,554,Potential Loyalists
87,18,9,7994.73,4,5,4,454,Potential Loyalists
88,74,6,5550.83,2,3,3,233,Lost Customers
89,4,9,12741.44,5,5,5,555,Champions
90,30,7,7703.58,4,4,4,444,Potential Loyalists
91,9,8,8066.4400000000005,5,4,4,544,Potential Loyalists
92,34,3,5098.43,3,1,2,312,Average Customers
93,79,3,5276.129999999999,2,1,2,212,Lost Customers
94,33,7,8305.77,3,4,4,344,Average Customers
95,38,4,5049.799999999999,3,1,2,312,Average Customers
96,70,4,3874.84,2,1,2,212,Lost Customers
97,102,8,8895.95,1,4,5,145, At Risk
98,122,5,6180.05,1,2,3,123,Lost Customers
99,2,9,8279.06,5,5,4,554,Potential Loyalists
100,11,2,2748.2,5,1,1,511,New Customers
101,8,4,4309.82,5,1,2,512,New Customers
102,42,7,6659.22,3,4,3,343,Average Customers
103,49,5,4909.84,3,2,2,322,Average Customers
104,64,9,8985.64,2,5,5,255,Loyal Customers
105,89,4,6234.35,2,1,3,213,Lost Customers
106,1,3,2906.16,5,1,1,511,New Customers
107,81,4,3345.1000000000004,2,1,1,211,Lost Customers
108,10,3,3556.66,5,1,1,511,New Customers
109,8,10,10661.51,5,5,5,555,Champions
110,14,7,7788.71,5,4,4,544,Potential Loyalists
111,147,4,4873.0599999999995,1,1,2,112,Lost Customers
112,47,6,9059.89,3,3,5,335,Average Customers
113,175,6,5412.969999999999,1,3,3,133,Lost Customers
114,70,4,3233.0,2,1,1,211,Lost Customers
115,14,8,8398.18,5,4,4,544,Potential Loyalists
116,12,8,5663.92,5,4,3,543,New Customers
117,5,10,12856.83,5,5,5,555,Champions
118,69,5,5319.51,2,2,3,223,Lost Customers
119,30,4,5217.66,4,1,2,412,Average Customers
120,129,3,3118.34,1,1,1,111,Lost Customers
121,111,4,4327.44,1,1,2,112,Lost Customers
122,8,5,6533.389999999999,5,2,3,523,New Customers
123,191,4,5337.79,1,1,3,113,Lost Customers
124,2,7,8272.15,5,4,4,544,Potential Loyalists
125,83,10,7107.32,2,5,4,254, At Risk
126,11,3,3448.12,5,1,1,511,New Customers
127,23,10,9949.62,4,5,5,455,Loyal Customers
128,137,4,3679.75,1,1,1,111,Lost Customers
129,178,4,4090.48,1,1,2,112,Lost Customers
130,76,2,3340.42,2,1,1,211,Lost Customers
131,205,6,8745.28,1,3,4,134,Lost Customers
132,7,6,7365.93,5,3,4,534,New Customers
133,26,5,3164.55,4,2,1,421,Average Customers
134,14,6,7170.95,5,3,4,534,New Customers
135,115,7,6860.46,1,4,4,144, At Risk
136,20,8,9406.85,4,4,5,445,Potential Loyalists
137,27,5,3507.0499999999997,4,2,1,421,Average Customers
138,64,7,4927.35,2,4,2,242,Lost Customers
139,26,9,10638.89,4,5,5,455,Loyal Customers
140,3,6,7649.34,5,3,4,534,New Customers
141,159,3,4053.9800000000005,1,1,2,112,Lost Customers
142,4,11,12474.74,5,5,5,555,Champions
143,13,4,4689.21,5,1,2,512,New Customers
144,6,8,8961.14,5,4,5,545,Potential Loyalists
145,28,7,8149.19,4,4,4,444,Potential Loyalists
146,194,2,1973.29,1,1,1,111,Lost Customers
147,34,6,8079.09,3,3,4,334,Average Customers
148,43,5,5808.83,3,2,3,323,Average Customers
149,18,6,7091.73,4,3,4,434,Average Customers
150,75,4,3630.96,2,1,1,211,Lost Customers
151,0,8,13047.54,5,4,5,545,Potential Loyalists
152,158,2,2941.37,1,1,1,111,Lost Customers
153,64,7,7808.16,2,4,4,244, At Risk
154,23,6,3558.31,4,3,1,431,Average Customers
155,8,3,4008.51,5,1,2,512,New Customers
156,16,5,4831.58,4,2,2,422,Average Customers
157,135,4,2541.39,1,1,1,111,Lost Customers
158,65,6,7221.05,2,3,4,234,Lost Customers
159,66,6,6016.32,2,3,3,233,Lost Customers
160,93,2,3024.58,2,1,1,211,Lost Customers
161,159,1,1148.64,1,1,1,111,Lost Customers
162,98,3,3317.47,2,1,1,211,Lost Customers
163,114,2,3089.24,1,1,1,111,Lost Customers
164,198,3,2583.85,1,1,1,111,Lost Customers
165,8,9,9893.75,5,5,5,555,Champions
166,63,8,9737.72,2,4,5,245, At Risk
167,14,9,9888.61,5,5,5,555,Champions
168,136,9,10135.25,1,5,5,155,Loyal Customers
169,61,3,2065.08,2,1,1,211,Lost Customers
